기준_년분기_코드,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,점포_수,유사_업종_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수
20251,11530790,수궁동,CS100010,커피-음료,10.0,22.0,0.0,0.0,0.0,0.0,12.0
20251,11530800,항동,CS100010,커피-음료,10.0,21.0,0.0,0.0,0.0,0.0,11.0
20251,11545510,가산동,CS100010,커피-음료,206.0,364.0,4.0,14.0,3.0,9.0,158.0
20251,11545610,독산1동,CS100010,커피-음료,55.0,88.0,3.0,3.0,2.0,2.0,33.0
20251,11545620,독산2동,CS100010,커피-음료,17.0,29.0,3.0,1.0,3.0,1.0,12.0
20251,11545630,독산3동,CS100010,커피-음료,29.0,36.0,6.0,2.0,8.0,3.0,7.0
20251,11545640,독산4동,CS100010,커피-음료,17.0,28.0,4.0,1.0,0.0,0.0,11.0
20251,11545670,시흥1동,CS100010,커피-음료,45.0,72.0,1.0,1.0,6.0,4.0,27.0
20251,11545680,시흥2동,CS100010,커피-음료,6.0,10.0,0.0,0.0,0.0,0.0,4.0
20251,11545690,시흥3동,CS100010,커피-음료,13.0,18.0,0.0,0.0,6.0,1.0,5.0
20251,11545700,시흥4동,CS100010,커피-음료,8.0,11.0,9.0,1.0,0.0,0.0,3.0
20251,11545710,시흥5동,CS100010,커피-음료,18.0,26.0,12.0,3.0,8.0,2.0,8.0
20251,11560515,영등포본동,CS100010,커피-음료,31.0,46.0,2.0,1.0,0.0,0.0,15.0
20251,11560535,영등포동,CS100010,커피-음료,84.0,149.0,3.0,5.0,3.0,4.0,65.0
20251,11560540,여의동,CS100010,커피-음료,280.0,420.0,3.0,11.0,3.0,14.0,140.0
20251,11560550,당산1동,CS100010,커피-음료,97.0,131.0,5.0,6.0,4.0,5.0,34.0
20251,11560560,당산2동,CS100010,커피-음료,68.0,98.0,4.0,4.0,6.0,6.0,30.0
20251,11560585,도림동,CS100010,커피-음료,25.0,28.0,7.0,2.0,7.0,2.0,3.0
20251,11560605,문래동,CS100010,커피-음료,117.0,148.0,3.0,4.0,3.0,5.0,31.0
20251,11560610,양평1동,CS100010,커피-음료,52.0,73.0,4.0,3.0,3.0,2.0,21.0
20251,11560620,양평2동,CS100010,커피-음료,67.0,100.0,6.0,6.0,5.0,5.0,33.0
20251,11560630,신길1동,CS100010,커피-음료,20.0,27.0,7.0,2.0,4.0,1.0,7.0
20251,11560650,신길3동,CS100010,커피-음료,12.0,20.0,5.0,1.0,15.0,3.0,8.0
20251,11560660,신길4동,CS100010,커피-음료,8.0,10.0,0.0,0.0,20.0,2.0,2.0
20251,11560670,신길5동,CS100010,커피-음료,11.0,13.0,8.0,1.0,15.0,2.0,2.0
20251,11560680,신길6동,CS100010,커피-음료,32.0,43.0,2.0,1.0,2.0,1.0,11.0
20251,11560690,신길7동,CS100010,커피-음료,11.0,20.0,0.0,0.0,0.0,0.0,9.0
20251,11560700,대림1동,CS100010,커피-음료,16.0,26.0,12.0,3.0,4.0,1.0,10.0
20251,11560710,대림2동,CS100010,커피-음료,19.0,30.0,7.0,2.0,3.0,1.0,11.0
20251,11560720,대림3동,CS100010,커피-음료,38.0,50.0,4.0,2.0,2.0,1.0,12.0
20251,11590510,노량진1동,CS100010,커피-음료,64.0,92.0,3.0,3.0,4.0,4.0,28.0
20251,11590520,노량진2동,CS100010,커피-음료,22.0,29.0,3.0,1.0,3.0,1.0,7.0
20251,11590530,상도1동,CS100010,커피-음료,66.0,88.0,3.0,3.0,2.0,2.0,22.0
20251,11590540,상도2동,CS100010,커피-음료,29.0,48.0,2.0,1.0,2.0,1.0,19.0
20251,11590550,상도3동,CS100010,커피-음료,28.0,37.0,3.0,1.0,5.0,2.0,9.0
20251,11590560,상도4동,CS100010,커피-음료,26.0,33.0,0.0,0.0,0.0,0.0,7.0
20251,11590605,흑석동,CS100010,커피-음료,54.0,75.0,1.0,1.0,0.0,0.0,21.0
20251,11590620,사당1동,CS100010,커피-음료,63.0,75.0,5.0,4.0,4.0,3.0,12.0
20251,11590630,사당2동,CS100010,커피-음료,30.0,47.0,0.0,0.0,2.0,1.0,17.0
20251,11590640,사당3동,CS100010,커피-음료,28.0,37.0,0.0,0.0,3.0,1.0,9.0
20251,11590650,사당4동,CS100010,커피-음료,15.0,23.0,0.0,0.0,4.0,1.0,8.0
